trace_name,alg_name,cache_invalidation_method_compress,cache_invalidation_method_decompress,page_number,compressed_size,uncompressed_size,compression_time,decompression_time
REFERENCE_ollama,WK64,0,0,2136,1056,4096,11207,10265
REFERENCE_ollama,WK64,0,0,2137,4240,4096,29211,25272
REFERENCE_ollama,WK64,0,0,2138,4240,4096,31935,24039
REFERENCE_ollama,WK64,0,0,2139,4240,4096,43634,31593
REFERENCE_ollama,WK64,0,0,2140,4240,4096,34026,25161
REFERENCE_ollama,WK64,0,0,2141,4240,4096,32029,23644
REFERENCE_ollama,WK64,0,0,2142,4240,4096,33858,25990
REFERENCE_ollama,WK64,0,0,2143,4240,4096,34424,25738
REFERENCE_ollama,WK64,0,0,2144,4240,4096,32618,24247
REFERENCE_ollama,WK64,0,0,2145,4240,4096,33551,25029
REFERENCE_ollama,WK64,0,0,2146,656,4096,9143,8962
REFERENCE_ollama,WK64,0,0,2147,4240,4096,33270,24252
REFERENCE_ollama,WK64,0,0,2148,4240,4096,35129,25567
REFERENCE_ollama,WK64,0,0,2149,4240,4096,31727,23942
REFERENCE_ollama,WK64,0,0,2150,4240,4096,89272,59342
REFERENCE_ollama,WK64,0,0,2151,4240,4096,32981,24714
REFERENCE_ollama,WK64,0,0,2152,4240,4096,31044,23948
REFERENCE_ollama,WK64,0,0,2153,952,4096,12142,16079
REFERENCE_ollama,WK64,0,0,2154,4240,4096,32345,24227
REFERENCE_ollama,WK64,0,0,2155,4240,4096,31589,23107
REFERENCE_ollama,WK64,0,0,2156,4240,4096,32849,24737
REFERENCE_ollama,WK64,0,0,2157,4240,4096,31192,22727
REFERENCE_ollama,WK64,0,0,2158,4240,4096,35668,25475
REFERENCE_ollama,WK64,0,0,2159,4240,4096,34879,25734
REFERENCE_ollama,WK64,0,0,2160,4240,4096,31798,24269
REFERENCE_ollama,WK64,0,0,2161,1320,4096,19994,18139
REFERENCE_ollama,WK64,0,0,2162,160,4096,3374,3360
REFERENCE_ollama,WK64,0,0,2163,4240,4096,32450,24125
REFERENCE_ollama,WK64,0,0,2164,4240,4096,35262,26367
REFERENCE_ollama,WK64,0,0,2165,4240,4096,41405,30806
REFERENCE_ollama,WK64,0,0,2166,4240,4096,34911,25927
REFERENCE_ollama,WK64,0,0,2167,4240,4096,34573,25893
REFERENCE_ollama,WK64,0,0,2168,1232,4096,23739,15817
REFERENCE_ollama,WK64,0,0,2169,4240,4096,31727,23298
REFERENCE_ollama,WK64,0,0,2170,4240,4096,30105,23385
REFERENCE_ollama,WK64,0,0,2171,1120,4096,12530,10644
REFERENCE_ollama,WK64,0,0,2172,4240,4096,35516,26063
REFERENCE_ollama,WK64,0,0,2173,400,4096,5524,4848
REFERENCE_ollama,WK64,0,0,2174,1720,4096,20650,15973
REFERENCE_ollama,WK64,0,0,2175,4240,4096,28430,21721
REFERENCE_ollama,WK64,0,0,2176,416,4096,5395,5218
REFERENCE_ollama,WK64,0,0,2177,1144,4096,10447,11784
REFERENCE_ollama,WK64,0,0,2178,4240,4096,35497,26586
